15
-95,-38,-35,13,10,-77,-70,58,14,56,95,52,14,33,15
4,30,27,10,10,-7,-48,-32,-51,28,70,43,35,-40,-77
26,-37,28,-31,-73,-96,98,96,56,74,27,-31,0,29,-35
64,21,58,29,23,-29,-30,15,37,-95,-6,2,91,-28,68
81,70,80,-19,3,91,100,-83,-81,-48,99,-93,29,87,-45
-92,72,17,47,-60,-81,63,-19,-76,100,-36,87,-100,-97,-27
-97,-72,73,69,25,-74,97,-89,92,10,-67,-56,-27,-72,-27
47,-6,45,-67,23,55,-17,27,-35,-21,60,4,-63,-65,77
81,82,-17,45,65,22,75,-22,41,47,-70,12,12,2,-72
-7,-28,97,70,-15,75,-20,85,-39,-68,9,74,16,-31,-11
7,32,28,-16,62,12,96,-42,36,-84,-85,37,-100,-63,-97
59,-2,14,-61,-58,80,-31,61,-87,-53,-40,-5,60,-49,-28
-11,-21,26,6,26,70,-21,100,-44,-9,72,53,-15,86,41
5,51,86,49,-83,89,54,15,-75,-59,3,43,50,73,-42
-87,-97,95,-31,-46,-83,51,84,-1,3,-27,42,86,-36,-100
