15
0,764986,950883,668599,65075,605673,488393,139111,451119,677943,704433,442573,670138,693245,913802
764986,0,943986,477268,866869,619211,707459,693104,767757,774037,282134,711620,495158,963367,320797
950883,943986,0,341509,838003,216858,909340,922672,286321,542740,601444,683624,499626,46682,664665
668599,477268,341509,0,789870,647234,714389,991207,840189,861938,67379,477586,566243,985086,432345
65075,866869,838003,789870,0,794662,973743,704698,889411,750701,582554,553408,134274,375546,235574
605673,619211,216858,647234,794662,0,694531,717136,623535,91343,919616,545507,203045,862311,887326
488393,707459,909340,714389,973743,694531,0,323886,815139,325813,383133,362563,191104,360825,93127
139111,693104,922672,991207,704698,717136,323886,0,994880,487444,711691,439841,833018,280743,473019
451119,767757,286321,840189,889411,623535,815139,994880,0,923808,183478,540809,671908,732030,916231
677943,774037,542740,861938,750701,91343,325813,487444,923808,0,109894,58000,276717,616170,325989
704433,282134,601444,67379,582554,919616,383133,711691,183478,109894,0,972347,973588,357178,482199
442573,711620,683624,477586,553408,545507,362563,439841,540809,58000,972347,0,2912,209178,697912
670138,495158,499626,566243,134274,203045,191104,833018,671908,276717,973588,2912,0,231331,424028
693245,963367,46682,985086,375546,862311,360825,280743,732030,616170,357178,209178,231331,0,338734
913802,320797,664665,432345,235574,887326,93127,473019,916231,325989,482199,697912,424028,338734,0
