15
0,719523703,2186512,907593076,313394931,870394220,764835280,795905273,812748375,964088159,651176205,716490661,666970524,137273288,943287462
719523703,0,895213121,59025236,828863500,341053281,650060088,611860973,478016714,992355341,652135437,130502231,15892543,198502804,515341308
2186512,895213121,0,276683891,824134043,865767637,922071052,183029073,180961930,687244400,771921009,356751456,5558071,308392082,947584098
907593076,59025236,276683891,0,53944364,432571073,156279709,739099194,687512409,481337774,261349248,357395449,488385179,195994730,977589504
313394931,828863500,824134043,53944364,0,304295025,730656199,921247460,952265855,403023388,23367464,2878389,182616285,375081369,227338441
870394220,341053281,865767637,432571073,304295025,0,571121866,346347578,842135870,854940130,596086087,212826314,732433636,988829461,620501327
764835280,650060088,922071052,156279709,730656199,571121866,0,351569938,843252850,309573147,484828644,903507183,161622597,648684681,534707155
795905273,611860973,183029073,739099194,921247460,346347578,351569938,0,759808357,610070020,691456434,725037596,635285631,73695894,188205404
812748375,478016714,180961930,687512409,952265855,842135870,843252850,759808357,0,349799385,172539092,474225798,927051386,429912989,343154629
964088159,992355341,687244400,481337774,403023388,854940130,309573147,610070020,349799385,0,452909850,2924355,662936957,491246569,160271130
651176205,652135437,771921009,261349248,23367464,596086087,484828644,691456434,172539092,452909850,0,274442476,842365009,24503758,994037476
716490661,130502231,356751456,357395449,2878389,212826314,903507183,725037596,474225798,2924355,274442476,0,503650423,856898382,216112795
666970524,15892543,5558071,488385179,182616285,732433636,161622597,635285631,927051386,662936957,842365009,503650423,0,229917638,610092750
137273288,198502804,308392082,195994730,375081369,988829461,648684681,73695894,429912989,491246569,24503758,856898382,229917638,0,265331817
943287462,515341308,947584098,977589504,227338441,620501327,534707155,188205404,343154629,160271130,994037476,216112795,610092750,265331817,0
