100
0,5469602,5080300,8536982,2321863,1966293,3121878,5638592,184167,3338674,5803169,5701033,8659951,3155881,2018175,565342,9412570,8664656,266733,7251161,5921764,2898256,5524350,7861529,3646010,6792297,7275389,1172339,1457361,8951676,1894082,1101200,1149271,7992371,2927249,1544318,3053251,3417184,7940629,7996621,6218131,5026724,1813458,2883127,5219596,8646172,3793003,5088313,3716234,4709406,6800314,9244774,3372536,661343,1282774,1137371,7530739,2926476,1097908,7741925,5092198,9200489,1588665,4671912,1380849,9766852,8033538,1091104,8642619,8888343,9423429,8569771,5297853,7335091,8179760,7262522,526835,6853900,1272556,5312877,5054848,3710774,3611296,9938019,9287617,7372357,7911401,1347888,1689355,4968253,8125723,5274021,2526100,1541972,9025908,6287828,7989678,9001784,1989935,3244354
5469602,0,8886418,8281855,6925334,4556361,2350827,1237995,9234306,8242176,7125256,7220285,6792785,4419681,7635890,8411495,6069647,8674994,7167546,8313522,868646,1910594,1961111,9269598,1125520,2100377,8422576,6490148,2618313,1388449,5827125,2565161,3035325,3189152,8507732,311744,3813578,8679776,9770156,5620023,3226845,347141,1504331,3328891,5436280,1690067,5927576,5724964,1999662,7899386,5104304,7352352,8984202,9491435,7913500,9999379,4805912,6199745,6565239,9648044,2787436,9292734,1832921,245678,10211,4993275,2751471,9289472,4043802,3027695,3095563,5975528,6053721,9984581,4762841,9136709,1102733,3516663,3156934,6706315,6323614,2486861,5682267,2626988,9209415,926002,289000,2142868,6852454,2678020,8584649,4881519,4163895,8286020,888676,3406319,9633095,6290006,7502795,5774137
5080300,8886418,0,2251453,8964658,5975761,2208521,8892979,76917,6585666,6455578,8608405,631667,9328261,7953495,1208075,7469665,9000451,4858143,2316525,1873058,695851,181653,9932174,7835390,8362801,3651557,9347269,6047829,9460802,7758070,2461032,2727205,837814,8529372,4765421,2765295,3087666,6349093,8660833,9475636,1353477,2352082,4011788,9242418,1078277,5810709,9633925,2921503,8712939,7299465,1774511,8413224,9191137,5616870,2617036,810355,8269318,6382446,3442246,2321309,1847165,9685292,950823,1156022,9614643,3396974,5445546,4610666,945702,8562272,2242439,674091,4181817,5190721,5982565,8054060,2242868,611899,5606488,9051342,5101404,2679447,2125590,1662591,4822964,1255912,68615,9918265,286889,7250023,3016185,6071398,5388066,9685723,1185309,6022881,4860991,5287545,4244308
8536982,8281855,2251453,0,6988467,3683457,8723158,7757316,81327,3192652,5220804,2386534,4788628,5661459,3408357,9842413,6678182,181348,7785943,5820275,6154754,6308686,3705971,4275389,4504122,6388481,6513580,8323926,6412928,2488842,5234953,2067642,2326615,2259743,4240973,1297320,1728368,4865362,9022115,5782511,2632432,9979302,9264724,709449,5637200,3636150,8219771,8870160,270459,2535777,8331699,9078039,3537954,987471,3064592,7315706,1813551,363416,2349292,5377021,1489297,3839392,7439065,5750295,2713696,1107167,5140139,2483007,3441439,3294057,6154145,6930323,7606532,7808904,3880669,350712,6652926,8260426,2830026,3321184,138474,1516158,6879643,79315,1217428,2331084,6075578,5728524,1938321,6533001,1413515,5326329,9662921,9351834,4782358,9195761,8615494,6536522,7003919,4938724
2321863,6925334,8964658,6988467,0,185623,8718281,263462,4987683,2609773,3237530,6749416,4154790,8104944,5926462,4893088,6494797,3128250,8122159,2076117,5118300,6790745,7149148,5257038,607682,5437081,6616423,6868791,4660257,9705115,3314576,525774,5441977,8116694,1229037,3701873,7290020,5544132,4065008,6528078,4707392,8706869,6317229,192845,1935016,7743633,4181065,1779763,8827777,1884212,5358700,1034219,823683,6152914,6535822,1520464,8167078,6527752,5757799,7445259,1927484,8996485,2090189,2140179,5595964,7946028,2107435,465741,6183956,4341183,8216484,2578465,6840002,5641488,2123476,4059585,7519267,3851842,1205830,703914,2618006,8668271,3009851,9364205,7524839,9918079,7084203,9638927,596609,2097775,5518140,225533,6922852,4395783,5211226,4833881,4892658,6143685,1526952,9454031
1966293,4556361,5975761,3683457,185623,0,5439175,6924529,7123191,240932,7356023,2629583,8843993,3637491,320441,4783514,3629990,4630738,3292924,8084665,7945170,5798282,2080931,5339934,8264564,8749485,603707,6771723,987940,7578331,8027901,2554396,683548,1917433,2924738,9571959,8486788,6885271,4139422,3049891,6024797,2568906,999241,9057828,738843,6037807,4334119,5633196,5939242,3079806,8016189,2771035,5648173,8631757,4423904,374841,8403168,8531711,2510600,9037394,2077751,6570588,9831045,2908710,5631359,2992348,6247781,3454649,3966866,8777827,7535828,233107,7079122,7549431,6292076,4307561,3221652,7992574,3702153,2170699,4183264,9593853,4535853,1763092,9773741,9529859,3322134,5254085,42086,7211362,5891317,4058180,368639,1123213,7490932,6660529,5357987,8546452,3320864,8135696
3121878,2350827,2208521,8723158,8718281,5439175,0,7868895,3690713,7214318,8933150,3385729,4857997,4302578,940514,9822767,4404302,675690,2864039,4033907,9646034,2931695,3094498,9941756,4678303,978403,4013521,7011633,8827250,1576977,9985842,6092329,2390758,8888065,6976549,3286460,2121784,51961,5210790,3333287,7859325,2337777,5390402,6438154,6326739,9212258,2252884,5099347,4478561,6689009,5908722,7171218,8204076,8715468,5970042,4655093,6233812,3398209,9050332,4375958,6823917,5471392,929669,3721798,8518597,4389840,5933904,9866934,2619540,1109368,213483,8674441,8451741,789602,3484841,1669082,7790903,8721816,6178968,5458452,3761000,9965926,8716796,3461036,8588598,7821281,8120741,3792871,9937183,519097,6221138,6967917,5748913,8034033,9686764,5675634,1921161,2065136,1186381,7412186
5638592,1237995,8892979,7757316,263462,6924529,7868895,0,2971954,27286,7889744,4154762,7850890,1656622,7843536,7330176,6792905,1110643,1076616,2858716,2267507,968218,4934895,4274435,2592404,6201586,7200837,4372305,5204106,4220577,5066488,5911950,3970350,2788511,7723758,6899159,5079180,1027754,3576509,7978034,1337635,9643242,3697242,2049561,6492796,2736703,4285623,4863460,4473182,4350555,2800361,3541525,3701753,9386366,9944297,988562,4297389,2686185,4401598,3684636,2330848,7961400,6023472,9887477,2417969,5971173,1844114,2427979,9826332,2268015,9550756,7119696,7890653,3724823,2820956,4326598,9067127,7817659,8350808,5832564,1347706,7595619,6791543,1346610,6687601,1661838,216963,6238177,3734793,5921769,9913937,3760720,6871813,9108011,4110961,7459609,6830489,3381135,4463006,3152633
184167,9234306,76917,81327,4987683,7123191,3690713,2971954,0,8224998,2909551,5018018,5373729,8588412,4610003,9311039,8732345,4967915,214028,8302056,2599687,4776228,7605280,2603935,9403786,6749575,676226,1549405,6873691,7497472,1875236,7226350,6697732,8901803,7188376,9924616,4103635,1673981,4709391,9760488,8472433,4550108,9281691,3048739,4173718,4684777,5327034,3662663,5710964,1904132,9624479,1895727,7900694,1580882,5591080,1117172,7291301,1044386,3970193,8164543,2259428,1143328,8133377,5303217,6597286,8434276,6464250,7916791,3969472,6275895,8722328,1534907,8927781,8960124,2122909,8004894,8433181,5094381,4133491,3962999,6342999,3336786,3443496,7984540,2018343,5392906,6499955,6719372,2587651,8408044,8929238,352090,4527112,1582920,2986996,5800238,8119005,5887305,7851329,6693186
3338674,8242176,6585666,3192652,2609773,240932,7214318,27286,8224998,0,586526,6889432,7903049,2571846,3881482,6483216,6912552,5238227,5390046,8668841,1190114,9329031,7441591,8031142,1975690,480032,3829555,3850997,9959697,7712308,6204963,4282557,8286558,9892843,1947232,7314943,7102461,6282190,8984398,1210606,4518566,9844929,3857129,8786103,3609896,6359980,6559900,7871518,8691939,4035814,5762978,6551979,8831568,3520670,4508641,917974,8333519,1148926,5760366,7605709,4290200,2900687,3656561,4588337,5494915,6603481,4309515,9426943,1194636,3044969,6632421,4396262,445199,7261066,6870607,2321195,7423072,7089432,7826152,9923056,6658331,6762884,5452908,4149686,5070517,1781258,1379651,5988132,440614,2495022,8101491,4079107,2979471,7382268,1360509,5781491,3046763,9910695,1961396,1724655
