50
-34,-50,-69,-28,87,73,-86,-6,-66,41,1,84,-56,74,89,70,7,-48,78,-100,73,-23,-74,-79,-47,-4,96,-53,-35,28,-13,68,-12,55,44,74,5,9,26,98,-82,18,-17,36,7,90,94,-91,74,-68
65,-55,-65,-69,-64,44,11,-68,33,49,-51,-76,-2,-100,47,75,-15,19,2,87,32,-31,31,5,94,39,24,86,9,-34,-10,72,-40,96,-100,-95,-27,87,46,32,-55,-37,21,46,61,53,-84,100,-30,48
47,-52,-19,3,-56,-48,24,-100,2,-32,17,45,34,39,-79,-3,81,66,-98,52,-24,-84,-15,30,-30,-6,-34,19,91,-66,-55,-19,20,-97,-44,26,69,-3,-7,-7,-77,28,77,-79,-86,-79,-51,42,73,5
-36,29,63,10,-61,59,-27,53,-59,-31,-34,-72,28,67,-32,68,85,-29,82,-4,25,-26,-27,-40,-61,-75,29,-92,16,-94,82,-37,-64,-87,50,14,-17,-88,12,21,-89,-79,-12,-86,-89,-55,93,-93,-48,-42
-86,-40,33,21,-61,30,-22,-31,-86,92,-40,73,66,11,29,-29,13,5,-90,18,12,25,70,31,-88,67,55,16,-100,-29,-13,-16,67,26,45,-17,47,41,39,80,17,-52,59,-41,-44,-25,-76,-25,-24,-98
-81,-29,-61,46,43,-68,-45,12,-85,-10,-90,-94,-38,-73,98,0,4,8,93,-4,-75,-36,60,-46,66,-64,52,-34,-97,-9,-99,-79,96,30,15,84,-35,90,27,4,-72,74,-26,-69,-14,-8,-57,-69,-55,85
-24,-61,33,-41,-32,-1,84,-79,8,-83,-13,-39,53,-30,64,99,-9,-27,-31,-38,50,-3,30,-20,99,19,57,-17,-13,11,37,84,16,-64,-48,-95,98,86,-43,95,70,20,6,-38,-43,29,-62,21,-81,49
-37,-93,5,-62,-21,-11,25,-64,-12,51,-4,-79,-72,97,-56,90,78,-8,-85,100,26,-27,-83,74,91,77,-68,-26,-42,11,68,-93,-44,89,-18,-11,67,-32,-50,-58,-66,39,-26,-4,-23,75,-90,-30,-25,63
100,-73,-55,-14,-10,-32,73,-5,28,92,-85,9,-88,-14,-63,72,93,44,-58,46,64,-81,-74,-92,-85,5,-6,13,90,32,-49,7,-11,-10,66,33,53,-12,-69,54,37,59,50,73,49,89,-33,72,-72,-23
82,48,41,82,81,-6,48,-94,73,82,4,-55,-72,49,-8,-16,41,92,71,1,5,97,-71,-30,-55,92,11,-20,-17,-28,36,-45,37,-80,-15,-7,-90,-15,8,-20,-14,86,65,-14,-82,68,68,41,44,100
-35,-5,24,-80,-62,51,-46,74,-97,-18,71,-95,0,-9,63,-95,-28,72,-80,3,-63,78,-26,38,85,-44,67,-42,-13,-20,-48,71,89,-36,74,-53,-91,64,-99,-84,55,-77,22,-78,-61,72,65,-41,29,-12
-51,-77,-5,-60,-56,-13,18,-70,-96,68,-46,-37,18,-54,62,12,92,55,67,41,-37,-77,68,-78,84,-88,61,1,46,51,-48,-61,97,-35,-25,35,47,-65,43,3,-56,-24,-23,-38,-85,20,68,-55,-13,87
-4,-51,-86,-71,-56,73,100,19,-52,34,-97,-99,11,24,-63,-16,-69,-74,-20,97,-33,5,97,1,-48,33,-11,75,-85,-1,-18,19,-39,48,25,18,-31,-92,100,20,-58,-76,81,39,18,56,-46,96,68,94
0,-37,47,58,-31,25,22,-27,56,97,76,-24,89,74,72,-57,43,-38,69,-78,-12,-95,99,-59,-70,16,-72,12,-10,99,34,98,-95,-73,99,-5,-96,-45,-69,-81,-74,65,-7,-29,-23,45,-7,-81,-8,-53
-76,31,73,33,79,63,-75,71,-31,-93,-50,11,8,-93,72,-98,-75,89,-8,4,-66,91,91,31,-36,2,-68,-46,-40,6,54,58,48,21,92,15,-96,-16,55,42,48,43,25,27,-19,7,-36,42,38,58
57,-10,84,40,-11,-83,93,-86,-71,82,57,-78,-69,-41,15,-77,49,67,35,-84,-52,74,3,-93,-45,85,-56,-89,67,-3,-68,80,-56,75,-78,76,25,18,-59,-28,-39,-66,-40,-100,55,-37,-74,6,3,-69
14,38,-49,60,36,41,70,-37,-33,-73,83,21,63,40,3,37,-57,80,-23,-47,30,-4,100,5,-5,59,-26,-9,-48,-2,-49,30,55,-14,0,47,-95,-59,87,-11,20,3,89,84,-74,-16,5,34,71,-12
5,61,20,84,-36,36,78,83,55,33,-92,-9,-59,-83,-10,17,-81,-83,77,4,38,95,0,45,-19,-60,79,-87,-50,3,-15,66,-9,98,93,-81,-95,91,40,34,-3,-26,-60,-68,98,93,-10,60,30,98
-27,40,17,-53,60,-77,45,-15,86,89,-62,20,91,68,-8,60,37,-46,70,20,32,-38,12,47,34,-15,33,-94,-59,-76,-85,93,-99,6,-17,-61,31,-51,-91,-44,-20,28,-96,-75,-89,87,22,8,99,40
68,10,-81,-99,-9,-8,-16,84,42,59,-33,-58,-73,-15,80,83,-58,-80,-42,82,-22,-71,-55,0,56,-78,93,67,-72,-92,65,-20,-98,17,-21,-7,-45,34,67,56,-39,-73,47,79,13,85,79,-52,-72,-96
5,96,-83,32,53,-82,30,45,-55,-60,50,96,-8,37,58,55,94,-22,85,-33,1,-42,-83,-8,-51,59,78,94,-9,81,-85,4,-87,49,-1,99,97,-83,66,-83,81,49,-26,-80,-53,59,89,83,-9,-75
-49,-83,30,65,-96,-74,-31,56,2,1,-24,4,-80,-81,-20,85,-89,58,-3,-86,3,-61,-90,18,-59,-87,-47,29,-47,-1,72,-46,-8,-32,-75,-54,-71,-62,-59,75,-24,30,-27,71,6,27,79,-76,-44,22
92,-100,-98,47,82,-51,-45,-8,-74,47,-57,-99,-10,66,77,-17,-35,24,9,79,-10,-64,-70,36,-100,56,-80,-54,49,99,-80,30,24,33,92,-39,-53,80,-16,-46,-80,3,60,-5,-68,-100,-31,-51,-75,-35
-82,-7,34,-56,2,-23,93,-41,80,36,51,16,-89,55,96,10,-7,-89,-83,-31,19,42,-26,6,51,86,58,79,-29,96,-69,38,19,-28,-65,83,-82,53,-60,-46,-20,-46,-13,-89,-46,15,14,56,70,-49
-25,-28,-3,-30,16,21,5,-87,-69,5,4,-39,-83,3,-16,-6,8,-98,6,21,-50,-51,69,99,-8,-62,-96,-96,-34,-33,37,99,19,60,-99,-91,63,78,28,-84,-56,-29,17,2,85,59,-65,59,-61,-43
-73,73,-97,8,-20,48,3,-80,52,91,-35,77,22,9,-68,-65,-60,-24,17,-7,41,1,-49,92,-21,-92,85,23,87,-29,-69,-50,-73,22,20,31,-77,-32,-19,-70,39,56,70,80,77,-65,-64,20,13,-22
-55,-50,87,20,25,34,73,28,-86,60,14,90,28,27,-26,75,71,-73,-71,-97,-71,71,-30,72,5,-17,-90,6,-35,-48,-14,54,-86,67,-75,66,24,-100,-4,10,42,51,20,-27,-52,5,-75,18,26,89
-22,-11,79,96,26,-56,41,-85,-25,-41,-25,53,-60,-57,-7,-1,84,3,-17,-23,-59,77,2,78,-36,40,-39,-57,37,14,92,79,-9,-15,88,-58,7,28,93,-57,76,-3,-100,76,-98,44,-95,-94,82,-82
-8,-51,-42,74,37,-61,-75,-43,-56,2,13,-3,39,-7,-58,-36,60,-54,28,-36,12,9,-50,-38,53,-23,4,8,74,56,77,-74,-36,-66,-97,-90,-37,-100,-82,-94,32,-50,-74,-63,83,-69,-72,19,-3,-58
-25,-68,-47,-82,90,72,-100,-64,94,5,-26,-33,-52,90,-7,-98,-42,-14,-20,12,86,88,-59,-79,70,-78,4,14,26,50,-88,1,28,97,60,1,20,6,11,28,83,18,-93,71,1,-53,82,44,67,48
53,-51,-93,-97,-86,34,-16,-38,59,70,7,-93,79,46,-45,100,-69,-64,57,-92,100,-73,40,76,96,-67,64,41,-88,-8,-31,30,-17,45,64,-78,55,-81,-75,51,82,-12,-80,77,2,-77,23,35,-5,0
66,48,-92,19,88,62,-29,-83,-87,84,-8,63,-41,-90,55,-67,34,37,70,83,-56,35,-25,23,92,-21,90,-6,-73,-30,46,-42,-46,-6,-94,61,-57,-37,-79,-44,-73,86,61,-27,39,81,-94,69,64,-86
-65,-32,-46,-85,-52,18,63,-79,28,96,-44,86,9,-45,-83,-92,-11,73,95,89,-42,-17,-50,46,31,-83,96,34,-88,-6,-38,41,63,59,-96,-93,-36,-96,-47,49,-93,13,45,65,29,51,-17,-54,-34,-35
-22,-60,70,-98,53,60,37,60,-85,93,10,66,64,-69,-82,30,-80,-38,-17,16,-99,-98,-97,45,-22,-93,-56,52,90,18,56,65,-62,62,-55,-61,-78,-44,-95,-4,-7,3,-63,-40,-32,-73,10,77,31,-27
