30
0,596959,668708,196501,342666,841778,74211,856253,777064,477922,289295,969082,141535,464016,318012,763479,524438,402131,100302,146065,201113,545363,403570,382760,738118,3626,942195,675638,247330,878999
596959,0,600322,593412,663694,802765,284195,899536,651027,329248,195630,270646,446568,488056,823541,457983,827055,413734,281666,621536,368263,264556,47244,714576,616412,5480,153434,474094,979079,21652
668708,600322,0,871605,230516,734472,376438,467803,721292,690822,392535,685451,331196,436368,89920,450666,18761,887617,233750,604847,749157,455368,914531,348376,825551,931379,209202,138812,732976,634176
196501,593412,871605,0,473779,319164,769042,549114,173374,37510,102328,916974,681572,688437,671032,82357,80036,422251,380479,109603,106335,949040,85441,361275,326141,293314,495679,856027,427931,551280
342666,663694,230516,473779,0,382007,536137,735021,90876,816810,821974,488242,273192,819725,97881,477850,208729,181332,707377,171208,387796,46771,234094,109640,91975,51912,432550,658566,57506,383198
841778,802765,734472,319164,382007,0,276767,241889,197392,536683,639851,843543,561782,134121,331460,512878,329483,229138,793272,848050,837410,925521,782710,341412,459756,661614,365365,690417,106835,676445
74211,284195,376438,769042,536137,276767,0,252638,535408,42946,134137,33141,835160,416912,429208,575743,728079,19305,425029,321634,453042,178720,654647,9496,924200,85538,69374,956648,307514,922299
856253,899536,467803,549114,735021,241889,252638,0,61137,890268,11566,886812,58782,115305,370365,353831,381423,216461,663074,104771,225593,465806,645176,41487,444980,422715,795564,35562,792749,573748
777064,651027,721292,173374,90876,197392,535408,61137,0,575092,245963,958312,709402,481261,549377,263841,573502,694384,976117,419739,125844,276770,469833,2266,321090,202867,418937,365514,313023,203437
477922,329248,690822,37510,816810,536683,42946,890268,575092,0,733490,726719,896608,916816,532495,39172,140136,573788,680077,165827,421613,830438,677640,276628,218724,359020,243513,375072,838775,380128
289295,195630,392535,102328,821974,639851,134137,11566,245963,733490,0,828396,833250,850590,250969,11847,681502,156139,389412,906839,20650,84239,307304,73119,14258,159857,514889,954019,85210,160513
969082,270646,685451,916974,488242,843543,33141,886812,958312,726719,828396,0,731826,343089,333127,327544,560311,432464,445302,835735,565704,489562,168468,988862,457645,511015,680308,753731,4834,937043
141535,446568,331196,681572,273192,561782,835160,58782,709402,896608,833250,731826,0,298647,746515,924996,684125,165743,262657,978940,386906,117601,888886,347879,150271,476789,697393,752071,436876,789283
464016,488056,436368,688437,819725,134121,416912,115305,481261,916816,850590,343089,298647,0,66483,480199,63467,336885,109713,577221,987531,878885,98619,265099,518463,772997,925439,395745,429016,406429
318012,823541,89920,671032,97881,331460,429208,370365,549377,532495,250969,333127,746515,66483,0,356888,74890,671657,229527,315820,52508,107929,221036,752662,847038,13512,637500,179131,717532,824774
763479,457983,450666,82357,477850,512878,575743,353831,263841,39172,11847,327544,924996,480199,356888,0,932256,609783,983542,481229,813258,275800,82864,770037,260915,89565,995791,208589,857402,193935
524438,827055,18761,80036,208729,329483,728079,381423,573502,140136,681502,560311,684125,63467,74890,932256,0,203376,635926,444447,979170,902205,505940,662203,355557,900902,67731,744927,735515,471470
402131,413734,887617,422251,181332,229138,19305,216461,694384,573788,156139,432464,165743,336885,671657,609783,203376,0,370339,970682,949303,606314,51417,690913,523270,492983,493565,681382,480367,267708
100302,281666,233750,380479,707377,793272,425029,663074,976117,680077,389412,445302,262657,109713,229527,983542,635926,370339,0,685813,693776,162468,707042,285034,118420,520387,299491,22452,532460,495113
146065,621536,604847,109603,171208,848050,321634,104771,419739,165827,906839,835735,978940,577221,315820,481229,444447,970682,685813,0,106520,639075,673952,316038,147927,634713,181313,660917,443846,633623
201113,368263,749157,106335,387796,837410,453042,225593,125844,421613,20650,565704,386906,987531,52508,813258,979170,949303,693776,106520,0,578132,228193,383439,476610,81887,59124,511253,226935,281467
545363,264556,455368,949040,46771,925521,178720,465806,276770,830438,84239,489562,117601,878885,107929,275800,902205,606314,162468,639075,578132,0,896977,759546,763178,461609,425707,678324,186137,956306
403570,47244,914531,85441,234094,782710,654647,645176,469833,677640,307304,168468,888886,98619,221036,82864,505940,51417,707042,673952,228193,896977,0,582176,790527,967158,589720,135611,979943,305813
382760,714576,348376,361275,109640,341412,9496,41487,2266,276628,73119,988862,347879,265099,752662,770037,662203,690913,285034,316038,383439,759546,582176,0,136939,7966,15829,959163,613215,677425
738118,616412,825551,326141,91975,459756,924200,444980,321090,218724,14258,457645,150271,518463,847038,260915,355557,523270,118420,147927,476610,763178,790527,136939,0,951956,376547,957133,585389,584260
3626,5480,931379,293314,51912,661614,85538,422715,202867,359020,159857,511015,476789,772997,13512,89565,900902,492983,520387,634713,81887,461609,967158,7966,951956,0,536113,102611,39545,54968
942195,153434,209202,495679,432550,365365,69374,795564,418937,243513,514889,680308,697393,925439,637500,995791,67731,493565,299491,181313,59124,425707,589720,15829,376547,536113,0,949771,411078,440053
675638,474094,138812,856027,658566,690417,956648,35562,365514,375072,954019,753731,752071,395745,179131,208589,744927,681382,22452,660917,511253,678324,135611,959163,957133,102611,949771,0,232258,328503
247330,979079,732976,427931,57506,106835,307514,792749,313023,838775,85210,4834,436876,429016,717532,857402,735515,480367,532460,443846,226935,186137,979943,613215,585389,39545,411078,232258,0,145738
878999,21652,634176,551280,383198,676445,922299,573748,203437,380128,160513,937043,789283,406429,824774,193935,471470,267708,495113,633623,281467,956306,305813,677425,584260,54968,440053,328503,145738,0
